COLOR,COMPKEY,FEEDERDIAM,FEEDERLEN,INSTDATE,MFGKEY,OUTLSZ1,OUTLSZ2,OUTLSZ3,PRESZONE,UNITTYPE,LONGKEY,PLUGGED,NONSCHE,FZONENUM,DECLREQD,HYMARKER,Letters,FLSHFRE_DAYS
BLUE,7546.0,0.0,1.4,1980-02-01,1022,63,63,0,5,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
BLUE,7554.0,0.0,1.2,2008-10-09 12:10:00,1012,63,150,63,4,HYBLWF,N,N,N,FZ-C02,Y,N,S,365
BLUE,7566.0,0.0,2.0,2008-09-24 09:38:00,1004,63,150,63,5,HYBLWF,N,N,N,FZ-C03,N,Y,B,365
BLUE,7146.0,0.0,1.0,2007-12-21 07:53:00,1012,63,63,0,6,HYBLWF,N,N,N,FZ-C01,N,Y,B,365
BLUE,7148.0,0.0,1.0,2007-01-23 08:50:00,1012,63,63,0,6,HYBLWF,N,N,N,FZ-C01,N,Y,B,365
GREEN,4545.0,0.0,0.9,1978-12-20,1012,63,63,0,5,HYBLWF,N,N,N,FZ-C02,N,Y,B,365
BLUE,4553.0,0.0,1.1,2008-08-29 10:14:00,1012,63,63,0,5,HYBLWF,N,N,N,FZ-C02,N,Y,B,365
BLUE,4557.0,0.0,1.0,2008-07-21 11:25:00,1022,63,150,63,5,HYBLWF,N,N,N,FZ-C02,N,Y,B,365
BLUE,4779.0,0.0,1.0,2008-01-23 23:00:00,1012,63,63,0,5,HYBLWF,N,N,N,FZ-C02,N,Y,B,365
ORANGE,4795.0,0.0,1.0,2008-07-17 12:51:00,1022,63,150,63,5,HYBLWF,N,Y,N,FZ-C02,Y,Y,B,365
GREEN,4989.0,0.0,1.2,2008-08-28 16:39:00,1022,63,150,63,5,HYBLWF,N,N,N,FZ-C01,Y,N,B,365
BLUE,4358.0,0.0,1.1,1978-12-20,1012,63,63,0,5,HYBLWF,N,N,N,FZ-C02,N,Y,B,365
BLUE,5172.0,0.0,2.0,1998-04-01,1022,63,150,63,6,HYBLWF,N,N,N,FZ-V04,Y,N,B,365
